injection_time_peak,injection_date_peak,year_month_peak,project_peak,system_name_peak,sample_set_name_peak,method_set_name_peak,column_serial_number_peak,column_name_peak,analyte,system_operator_peak,file_path,created_at,ids_file_id,manual_integration,channel_id,channel_name,peak_start,peak_end,amount_percent,amount_value,area_value,area_percent,resolution,retention_time,signal_to_noise_ratio,symmetry_factor,usp_tailing,asym_at_10,peak_width_5,peak_width_10,peak_width_50,asymmetry_aia,asymmetry_usp,custom_field_peak,source_type_peak,sample_name_peak,sample_type_peak,injection_duration_peak,source_type_injection,injection_id,system_name_injection,system_operator_injection,injection_volume,column_serial_number_injection,column_name_injection,sample_name_injection,sample_type_injection,sample_set_name_injection,method_set_name_injection,injection_time_injection,injection_date_injection,year_month_injection,injection_duration_injection,project_injection,result_count,custom_field_injection,sample_injection_count
2024-06-20 13:00:07.000 UTC,2024-06-20,2024-06,Heist\Tetrascience\Atozet_As_DEG_Atorvastatin_new,Waters68,HEIST_2024_ZZZZ,OG0653C_Assay_Atorvastatin,,,Atorvastatin Lactone,vancaelk,,,d4907f41-25d5-4d6f-8046-4f8e4c203f6a,False,3c6b31fc-12f4-5701-9fb3-310439fd811c,W2489 ChA,16.275,16.675,,,6378.0,0.18,,16.522,,,,,,,,,,"{Corrected_Area_Founds=6377.5284, LimsSampleId=7742782, Column_ID=4.6mm, Column_temp=35°C, LimsTestId=14472588, Column_nr=FZ, Column_type=ascentis express c18, Corrected_Area_All=6377.5284, LabwareFileId=63af622c-86d2-436c-bb85-58ee51d4b08d, Column_length=15cm}",Empower,Ref,Standard,35.0,Empower,1402,Waters68,vancaelk,15.0,,,Ref,Standard,HEIST_2024_ZZZZ,OG0653C_Assay_Atorvastatin,2024-06-20 13:00:07.000 UTC,2024-06-20,2024-06,35.0,Heist\Tetrascience\Atozet_As_DEG_Atorvastatin_new,2,"{LimsSampleId=7742782, Column_ID=4.6mm, Column_temp=35°C, LimsTestId=14472588, Column_nr=FZ, Column_type=ascentis express c18, LabwareFileId=63af622c-86d2-436c-bb85-58ee51d4b08d, Column_length=15cm}",9
2023-08-31 03:31:41.000 UTC,2023-08-31,2023-08,N/A (Chromeleon),CRONUS,iec_quant_test_1,iec_quant_method_v2,,,sulfate,cmadmin,,,d870ecc9-01e1-46a8-86ff-44b76ba4dcfa,False,79f84bf5-f647-e33c-3127-6f8153a0c6cb,CD_2_Total,2.9966666666666666,3.716666666666667,,,0.0933254845901911,29.562119256686028,,3.16,186.8360361106118,,,,,,,,,,Chromeleon,IEC_method_cal_14,Unknown,4.5,Chromeleon,IEC_method_cal_14:14.0,CRONUS,cmadmin,20.0,,,IEC_method_cal_14,Unknown,iec_quant_test_1,iec_quant_method_v2,2023-08-31 03:31:41.000 UTC,2023-08-31,2023-08,4.5,N/A (Chromeleon),4,,1
2025-06-10 19:08:31.000 UTC,2025-06-10,2025-06,Heist\2025_Q2\HPLC\Atozet\OG0653C_As_Atorva_Degr,Waters68,366,OG0653C_Assay_Atorvastatin,,,Atorvastatin,demeutte,,,19fcff6c-d988-4dbb-9c7b-8d9f8de709d9,False,e827143d-06db-53b6-bcb8-a538d4f514e2,W2489 ChA,10.375,11.108,,,542.0,0.01,,10.69,0.51924,,,,,,,,,"{ATTRIBUTE_15=0.00000000, Corrected_Area_Founds=541.6180, Column_ID=4.6mm, Identification_Procent=-1.8192258780, Final_Proc_Degr_Ref_Est=ND, Identification=CONFORMS, Identification_MIN=-1.819, Column_nr=47627389, Column_type=ascentis express c18, Corrected_Area_All=541.6180, Proc_Diff_Check=0.15, Column_length=15cm, Column_temp=35°C, ExperimentId=366, Identification_MAX=-1.819, Proc_Degr_Ref_Est_0=0.00000000}",Empower,Stressed Eze,Unknown,35.0,Empower,1084,Waters68,demeutte,15.0,,,Stressed Eze,Unknown,366,OG0653C_Assay_Atorvastatin,2025-06-10 19:08:31.000 UTC,2025-06-10,2025-06,35.0,Heist\2025_Q2\HPLC\Atozet\OG0653C_As_Atorva_Degr,1,"{Column_ID=4.6mm, Column_temp=35°C, ExperimentId=366, Column_nr=47627389, Column_type=ascentis express c18, Column_length=15cm}",1
2024-06-25 10:51:39.000 UTC,2024-06-25,2024-06,Heist\Tetrascience\Atozet_As_DEG_Atorvastatin_new,Waters68,HEI_2024_1234,OG0653C_Assay_Atorvastatin,,,,demeutte,,,1dfbc861-e5a2-489d-9a4d-07739891ec41,False,f6615217-6243-55b0-a938-95e44d85fdaf,W2489 ChA,2.725,3.167,0.09,0.037,1831.0,0.04,,2.957,,,,,,,,,,"{ATTRIBUTE_15=0.09233349, LimsSampleId=7743902, Corr_Factor_Weight_Sample=1.0000000000, Column_ID=4.6mm, Proc_Degr_Ref_Est=0.09233349, Final_Proc_Degr_Ref_Est=NQ, Column_nr=FZ, Column_type=ascentis express c18, Corrected_Area_All=1831.2971, Column_length=15cm, Volume_Sample_Solution=104.160000, Corr_Amount_Weight_Sample=0.03693339, Column_temp=35°C, LimsTestId=14473937, Assay_unit=mg/tab, Proc_Degr_Ref_Est_0=0.09233349, LabwareFileId=68340e09-880e-4f92-b2aa-4044e8b75dd2}",Empower,7743902,Unknown,35.0,Empower,1618,Waters68,demeutte,15.0,,,7743902,Unknown,HEI_2024_1234,OG0653C_Assay_Atorvastatin,2024-06-25 10:51:39.000 UTC,2024-06-25,2024-06,35.0,Heist\Tetrascience\Atozet_As_DEG_Atorvastatin_new,1,"{LimsSampleId=7743902, Corr_Factor_Weight_Sample=1.0000000000, Volume_Sample_Solution=104.160000, Column_ID=4.6mm, Column_temp=35°C, LimsTestId=14473937, Assay_unit=mg/tab, Column_nr=FZ, Column_type=ascentis express c18, LabwareFileId=68340e09-880e-4f92-b2aa-4044e8b75dd2, Column_length=15cm}",1
2025-06-11 00:31:42.000 UTC,2025-06-11,2025-06,Heist\2025_Q2\HPLC\Atozet\OG0653C_As_Atorva_Degr,Waters68,366,OG0653C_Assay_Atorvastatin,,,RRT 1.91,demeutte,,,92cfd2b2-e7c6-469e-b32e-ce6f17adb2a5,False,c1c0c5d6-7768-514b-9b21-da03e38ec4d9,W2489 ChA,,,,,,,,19.289,,,,,,,,,,,Empower,STD,Standard,35.0,Empower,1110,Waters68,demeutte,15.0,,,STD,Standard,366,OG0653C_Assay_Atorvastatin,2025-06-11 00:31:42.000 UTC,2025-06-11,2025-06,35.0,Heist\2025_Q2\HPLC\Atozet\OG0653C_As_Atorva_Degr,1,"{LimsSampleId=7786902, Column_ID=4.6mm, Column_temp=35°C, ExperimentId=366, LimsTestId=14527279, Column_nr=47627389, Column_type=ascentis express c18, Column_length=15cm}",6
2025-06-10 20:20:26.000 UTC,2025-06-10,2025-06,Heist\2025_Q2\HPLC\Atozet\OG0653C_As_Atorva_Degr,Waters68,366,OG0653C_Assay_Atorvastatin,,,Hydroxyl isopropyl epoxide,demeutte,,,a88c80d6-400a-49d1-ba6d-47e1cc3492ba,False,6d88bf2e-c3d0-51c6-845a-070af266deaf,W2489 ChA,18.708,19.342,,,3197.0,0.09,,18.892,,,,,,,,,,"{Corrected_Area_Founds=3196.6913, LimsSampleId=7786902, Column_ID=4.6mm, Identification_Procent=-0.1337019973, Proc_RSD_References=2.300, Identification=CONFORMS, Identification_MIN=-0.134, Column_nr=47627389, Column_type=ascentis express c18, Corrected_Area_All=3196.6913, Column_length=15cm, Column_temp=35°C, ExperimentId=366, LimsTestId=14527279, Identification_MAX=-0.134}",Empower,STD,Standard,35.0,Empower,1090,Waters68,demeutte,15.0,,,STD,Standard,366,OG0653C_Assay_Atorvastatin,2025-06-10 20:20:26.000 UTC,2025-06-10,2025-06,35.0,Heist\2025_Q2\HPLC\Atozet\OG0653C_As_Atorva_Degr,1,"{LimsSampleId=7786902, Column_ID=4.6mm, Column_temp=35°C, ExperimentId=366, LimsTestId=14527279, Column_nr=47627389, Column_type=ascentis express c18, Column_length=15cm}",1
2023-08-31 03:31:41.000 UTC,2023-08-31,2023-08,N/A (Chromeleon),CRONUS,iec_quant_test_1,iec_quant_method_v2,,,phosphate,cmadmin,,,d870ecc9-01e1-46a8-86ff-44b76ba4dcfa,False,79f84bf5-f647-e33c-3127-6f8153a0c6cb,CD_2_Total,2.6100000000000003,2.9966666666666666,,,0.0350306455005936,11.09643442490181,1.561014277935952,2.83,81.77700379036852,,,,,,,,,,Chromeleon,IEC_method_cal_14,Unknown,4.5,Chromeleon,IEC_method_cal_14:14.0,CRONUS,cmadmin,20.0,,,IEC_method_cal_14,Unknown,iec_quant_test_1,iec_quant_method_v2,2023-08-31 03:31:41.000 UTC,2023-08-31,2023-08,4.5,N/A (Chromeleon),4,,1
2023-08-31 03:31:41.000 UTC,2023-08-31,2023-08,N/A (Chromeleon),CRONUS,iec_quant_test_1,iec_quant_method_v2,,,nitrite,cmadmin,,,d870ecc9-01e1-46a8-86ff-44b76ba4dcfa,False,79f84bf5-f647-e33c-3127-6f8153a0c6cb,CD_2_Total,1.856666666666667,2.4066666666666667,,,0.0499325142510639,15.81680446191084,5.3175594873011285,1.9366666666666668,245.92500125243245,,,,,,,,,,Chromeleon,IEC_method_cal_14,Unknown,4.5,Chromeleon,IEC_method_cal_14:14.0,CRONUS,cmadmin,20.0,,,IEC_method_cal_14,Unknown,iec_quant_test_1,iec_quant_method_v2,2023-08-31 03:31:41.000 UTC,2023-08-31,2023-08,4.5,N/A (Chromeleon),4,,1
2025-06-10 22:44:03.000 UTC,2025-06-11,2025-06,Heist\2025_Q2\HPLC\Atozet\OG0653C_As_Atorva_Degr,Waters68,366,OG0653C_Assay_Atorvastatin,,,Ezetimibe,demeutte,,,83c695aa-932d-4df8-99bf-d6e8b75c3b7e,False,b3a79708-6d97-59f3-a6f2-60042fb7420d,W2489 ChA,,,,,,,,7.841,,,,,,,,,,,Empower,STD,Standard,35.0,Empower,1102,Waters68,demeutte,15.0,,,STD,Standard,366,OG0653C_Assay_Atorvastatin,2025-06-10 22:44:03.000 UTC,2025-06-10,2025-06,35.0,Heist\2025_Q2\HPLC\Atozet\OG0653C_As_Atorva_Degr,1,"{LimsSampleId=7786902, Column_ID=4.6mm, Column_temp=35°C, ExperimentId=366, LimsTestId=14527279, Column_nr=47627389, Column_type=ascentis express c18, Column_length=15cm}",5
2025-06-11 01:43:37.000 UTC,2025-06-11,2025-06,Heist\2025_Q2\HPLC\Atozet\OG0653C_As_Atorva_Degr,Waters68,366,OG0653C_Assay_Atorvastatin,,,SCH59566 (deg Ezet),demeutte,,,f8c566cd-dc43-49a0-b3a6-f36ac4917ba3,False,0d72827b-897d-56d7-8f3d-4d773996b125,W2489 ChA,12.542,13.3,,,49599.0,0.97,,12.965,,,,,,,,,,"{ATTRIBUTE_15=0.00000000, Corrected_Area_Founds=49598.6461, LimsSampleId=47627508, Corr_Factor_Weight_Sample=1.0000000000, Column_ID=4.6mm, sample_pk=Identification Assay & Degradates (HPLC) - Atorvastatin_366_47627508_RPL2, Column_nr=47627389, Column_type=ascentis express c18, Corrected_Area_All=49598.6461, Column_length=15cm, Volume_Sample_Solution=104.000000, Column_temp=35°C, ExperimentId=366, file_id=af44fdc6-1bd2-4f51-b7de-a0d7240d5b4e, LimsTestId=86442711, Assay_unit=mg/tab, Proc_Degr_Ref_Est_0=0.00000000, Sampleinformation=REP2}",Empower,TULIP_SIT_6,Unknown,35.0,Empower,1116,Waters68,demeutte,15.0,,,TULIP_SIT_6,Unknown,366,OG0653C_Assay_Atorvastatin,2025-06-11 01:43:37.000 UTC,2025-06-11,2025-06,35.0,Heist\2025_Q2\HPLC\Atozet\OG0653C_As_Atorva_Degr,1,"{LimsSampleId=47627508, Corr_Factor_Weight_Sample=1.0000000000, Column_ID=4.6mm, sample_pk=Identification Assay & Degradates (HPLC) - Atorvastatin_366_47627508_RPL2, Column_nr=47627389, Column_type=ascentis express c18, Column_length=15cm, Volume_Sample_Solution=104.000000, Column_temp=35°C, ExperimentId=366, file_id=af44fdc6-1bd2-4f51-b7de-a0d7240d5b4e, LimsTestId=86442711, Assay_unit=mg/tab, Sampleinformation=REP2}",2
